school,track,specialization
"LICEUL TEORETIC ""AVRAM IANCU""",Real,Matematica-Informatica
"COLEGIUL NATIONAL ""EMIL RACOVITA""",Uman,Stiinte ale Naturii
"LICEUL TEORETIC ""NICOLAE BALCESCU""",Servicii,Filologie
"LICEUL DE INFORMATICA ""TIBERIU POPOVICIU""",Tehnic,Stiinte Sociale
"LICEUL TEORETIC ""ONISIFOR GHIBU""",Resurse naturale si protectia mediului,Economic
"COLEGIUL NA?IONAL ""GHEORGHE ?INCAI""",,Turism si alimentatie
"COLEGIUL NATIONAL ""GEORGE BARITIU""",,Comert
"LICEUL TEORETIC ""LUCIAN BLAGA""",,Productie media
"LICEUL TEORETIC ""MIHAI EMINESCU""",,Electronica automatizari
"LICEUL UNITARIAN ""JANOS ZSIGMOND""",,Protectia mediului
SEMINARUL TEOLOGIC ORTODOX,,Electric
"COLEGIUL NATIONAL ""GEORGE COSBUC""",,Chimie industriala
"LICEUL TEORETIC ""VICTOR BABES""",,Estetica si igiena corpului omenesc
"LICEUL TEORETIC ""EUGEN PORA""",,Industrie alimentara
"COLEGIUL NATIONAL PEDAGOGIC ""GHEORGHE LAZAR""",,"Constructii, instalatii si lucrari publice"
"COLEGIUL ECONOMIC ""IULIAN POP""",,Mecanica
"LICEUL TEORETIC ""APACZAI CSERE JANOS""",,Electromecanica
"LICEUL GRECO-CATOLIC ""INOCHENTIE MICU""",,
"LICEUL TEORETIC ""BATHORY ISTVAN""",,
"LICEUL TEOLOGIC BAPTIST ""EMANUEL""",,
"COLEGIUL TEHNIC DE COMUNICATII ""AUGUSTIN MAIOR""",,
"COLEGIUL TEHNIC ""ANA ASLAN""",,
"LICEUL TEHNOLOGIC ""ALEXANDRU BORZA""",,
"LICEUL TEOLOGIC ADVENTIST ""MARANATHA""",,
LICEUL TEOLOGIC REFORMAT,,
"COLEGIUL TEHNIC DE TRANSPORTURI ""TRANSILVANIA""",,
COLEGIUL TEHNIC ENERGETIC,,
"COLEGIUL TEHNIC ""NAPOCA""",,
"COLEGIUL TEHNIC ""RALUCA RIPAN""",,
"COLEGIUL TEHNIC ""ANGHEL SALIGNY""",,
"LICEUL TEORETIC ""BRASSAI SAMUEL""",,
"LICEUL TEHNOLOGIC ""AUREL VLAICU""",,
"LICEUL TEHNOLOGIC UCECOM ""SPIRU HARET""",,
